MUNICIPIO,LEITOS_EXISTENTES,LATITUDE,LONGITUDE
BURITIZEIRO,124,-17.3667765,-44.9647781
BUTIA,160,-21.8843277,-47.567184
CAAPIRANGA,92,-3.3188884,-61.2096404
CAAPORA,172,-7.510234,-34.9154114
CAARAPO,156,-22.6349267,-54.8240903
CAATIBA,56,-14.9782759,-40.4092325
CABACEIRAS DO PARAGUACU,4,-12.5377868,-39.1901339
CABECEIRAS,48,-15.7995459,-46.9264991
CABEDELO,129,-6.97324,-34.8351609
CABIXI,32,-13.4940499,-60.545110240525375
CABO DE SANTO AGOSTINHO,1678,-8.2838945,-35.0320984
CABO FRIO,2132,-22.73783085,-42.0240869355641
CABO VERDE,168,14.9093135,-23.511686
CABREUVA,264,-23.3076663,-47.1324726
CABROBO,316,-8.5083701,-39.3106961
CACADOR,476,-26.7737784,-51.0134844
CACAPAVA,801,-23.099204,-45.707645
CACAPAVA DO SUL,316,-30.5113286,-53.4916761
CACAULANDIA,52,-10.3380043,-62.9007231
CACEQUI,144,-29.8838059,-54.8273443
CACERES,1503,-16.0644315,-57.6879744
CACHOEIRA,376,-30.0482234,-52.8901686
CACHOEIRA ALTA,184,-18.7618269,-50.9432431
CACHOEIRA DE PAJEU,148,-15.965833,-41.496666
CACHOEIRA DO ARARI,80,-1.0143572,-48.9621089
CACHOEIRA DO SUL,796,-30.0482234,-52.8901686
CACHOEIRA DOURADA,72,-18.4934204,-49.481062
CACHOEIRA PAULISTA,128,-22.6605578,-45.0081689
CACHOEIRAS DE MACACU,325,-22.4626861,-42.6534414
CACHOEIRINHA,508,-29.9493353,-51.0898927
CACHOEIRO DE ITAPEMIRIM,3408,-20.848084,-41.11129
CACIMBA DE AREIA,20,-7.1288513,-37.1575194
CACIMBA DE DENTRO,52,-6.6425101,-35.7929304
CACIMBINHAS,12,-9.401212,-36.991082
CACOAL,1865,-11.4333,-61.4420502
CACONDE,200,-21.5281123,-46.6434015
CACU,144,-18.5637222,-51.1369685
